time, branch, name, order, price, payment, credit-card-number
8/8/2023 9:13,Uppingham,Carole Brothers,Large Flavoured latte - Hazelnut - 2.85,2.85,CASH,
8/8/2023 9:14,Uppingham,Mary Irish,"Regular Flavoured hot chocolate - Vanilla - 2.60, Large Mocha - 2.70, Large Speciality Tea - Green - 1.60, Regular Flavoured latte - Caramel - 2.55, Large Red Label tea - 1.80",11.25,CARD,2.00444E+15
8/8/2023 9:15,Uppingham,Fred Estrada,"Regular Hot chocolate - 2.20, Regular Hot chocolate - 2.20",4.4,CASH,
8/8/2023 9:16,Uppingham,Rufus Phelps,Large Flavoured latte - Hazelnut - 2.85,2.85,CARD,6.64641E+15
8/8/2023 9:17,Uppingham,Kathrine Mcmillan,Regular Red Label tea - 1.20,1.2,CASH,
8/8/2023 9:18,Uppingham,Dorothy Fowler,"Regular Speciality Tea - Green - 1.30, Large Speciality Tea - Peppermint - 1.60, Regular Flavoured latte - Hazelnut - 2.55",5.45,CARD,6.35432E+15
8/8/2023 9:19,Uppingham,Gordon Ye,"Regular Speciality Tea - Peppermint - 1.30, Large Hot chocolate - 2.90, Large Flavoured latte - Hazelnut - 2.85, Regular Hot chocolate - 2.20",9.25,CARD,5.88412E+15
8/8/2023 9:20,Uppingham,Todd Lambert,"Regular Cortado - 2.05, Regular Speciality Tea - Green - 1.30, Regular Flavoured latte - Caramel - 2.55",5.9,CASH,
8/8/2023 9:21,Uppingham,Thomas Kozlowski,"Large Speciality Tea - Green - 1.60, Large Mocha - 2.70, Large Hot chocolate - 2.90",7.2,CARD,1.458E+15
8/8/2023 9:22,Uppingham,Samantha Carter,"Regular Cortado - 2.05, Regular Hot chocolate - 2.20, Large Flavoured hot chocolate - Vanilla - 2.90",7.15,CARD,7.37757E+15
8/8/2023 9:23,Uppingham,Ashley Wilson,"Regular Red Label tea - 1.20, Large Flavoured hot chocolate - Vanilla - 2.90, Regular Speciality Tea - Peppermint - 1.30",5.4,CARD,3.88252E+15
8/8/2023 9:24,Uppingham,Amber Higgins,"Large Speciality Tea - Peppermint - 1.60, Regular Cortado - 2.05",3.65,CARD,6.41681E+15
8/8/2023 9:25,Uppingham,Charles Mcquaid,"Large Speciality Tea - Green - 1.60, Large Hot chocolate - 2.90",4.5,CARD,9.26135E+15
8/8/2023 9:26,Uppingham,Shane Lewis,"Regular Flavoured latte - Caramel - 2.55, Regular Smoothies - Berry Beautiful - 2.00, Large Speciality Tea - Green - 1.60",6.15,CARD,5.12801E+15
8/8/2023 9:27,Uppingham,Kathy Cummings,Regular Cortado - 2.05,2.05,CARD,4.28022E+15
8/8/2023 9:28,Uppingham,Mary Miracle,"Large Speciality Tea - Green - 1.60, Regular Cortado - 2.05, Regular Hot chocolate - 2.20, Regular Mocha - 2.30",8.15,CARD,1.03122E+15
8/8/2023 9:29,Uppingham,Tracy Thompson,"Regular Flavoured hot chocolate - Vanilla - 2.60, Regular Speciality Tea - Peppermint - 1.30, Large Mocha - 2.70, Regular Speciality Tea - Green - 1.30, Large Smoothies - Berry Beautiful - 2.50, Regular Speciality Tea - Green - 1.30",11.7,CARD,1.06784E+15
8/8/2023 9:30,Uppingham,Juanita Higginbotham,"Regular Mocha - 2.30, Regular Flavoured hot chocolate - Vanilla - 2.60",4.9,CARD,4.00584E+15
8/8/2023 9:31,Uppingham,Arturo Cosenza,"Regular Speciality Tea - Green - 1.30, Regular Flavoured latte - Hazelnut - 2.55, Large Speciality Tea - Peppermint - 1.60, Regular Mocha - 2.30",7.75,CASH,
8/8/2023 9:32,Uppingham,Latricia Roesler,Large Cortado - 2.35,2.35,CARD,8.02649E+15
8/8/2023 9:33,Uppingham,Mario Spencer,"Large Cortado - 2.35, Large Mocha - 2.70, Regular Flavoured latte - Hazelnut - 2.55, Regular Red Label tea - 1.20, Large Smoothies - Berry Beautiful - 2.50, Regular Red Label tea - 1.20",12.5,CARD,2.51515E+15
8/8/2023 9:34,Uppingham,Pedro Parker,Large Smoothies - Berry Beautiful - 2.50,2.5,CASH,
8/8/2023 9:35,Uppingham,Billie Ortega,Regular Flavoured latte - Caramel - 2.55,2.55,CARD,8.58421E+15
8/8/2023 9:36,Uppingham,Carrie Franklin,"Regular Speciality Tea - Green - 1.30, Regular Mocha - 2.30, Regular Mocha - 2.30",5.9,CARD,9.02412E+15
8/8/2023 9:37,Uppingham,Jo Velasco,"Large Hot chocolate - 2.90, Regular Flavoured latte - Caramel - 2.55",5.45,CARD,8.06154E+15
8/8/2023 9:38,Uppingham,John Hathcock,"Regular Cortado - 2.05, Regular Flavoured hot chocolate - Vanilla - 2.60, Regular Cortado - 2.05, Regular Smoothies - Berry Beautiful - 2.00",8.7,CARD,6.44333E+15
8/8/2023 9:39,Uppingham,Ryan Harris,Regular Cortado - 2.05,2.05,CARD,2.70139E+15
8/8/2023 9:40,Uppingham,Alice Stephens,"Regular Flavoured latte - Caramel - 2.55, Large Flavoured latte - Caramel - 2.85, Regular Speciality Tea - Peppermint - 1.30, Large Speciality Tea - Green - 1.60",8.3,CASH,
8/8/2023 9:41,Uppingham,Annemarie Mccombs,"Large Speciality Tea - Green - 1.60, Regular Smoothies - Berry Beautiful - 2.00, Large Speciality Tea - Peppermint - 1.60, Regular Speciality Tea - Green - 1.30",6.5,CARD,2.90258E+15
8/8/2023 9:42,Uppingham,Dung Mccarville,"Large Red Label tea - 1.80, Regular Speciality Tea - Peppermint - 1.30",3.1,CASH,
8/8/2023 9:43,Uppingham,Eugene Zuchelkowski,Regular Speciality Tea - Green - 1.30,1.3,CARD,1.79066E+15
8/8/2023 9:44,Uppingham,Marvin Smith,"Large Speciality Tea - Green - 1.60, Large Speciality Tea - Green - 1.60",3.2,CARD,2.02869E+15
8/8/2023 9:45,Uppingham,Delmar Layman,Large Mocha - 2.70,2.7,CARD,4.13267E+15
8/8/2023 9:46,Uppingham,Verna Tannehill,"Regular Speciality Tea - Green - 1.30, Regular Hot chocolate - 2.20, Regular Cortado - 2.05",5.55,CARD,7.65549E+15
8/8/2023 9:47,Uppingham,Harold Ferrier,"Large Cortado - 2.35, Regular Smoothies - Berry Beautiful - 2.00, Large Red Label tea - 1.80, Large Flavoured latte - Hazelnut - 2.85",9,CASH,
8/8/2023 9:48,Uppingham,Maria Gaccione,"Large Speciality Tea - Peppermint - 1.60, Large Flavoured latte - Caramel - 2.85",4.45,CARD,4.11159E+15
8/8/2023 9:49,Uppingham,Theresa Speas,"Large Red Label tea - 1.80, Regular Speciality Tea - Green - 1.30, Regular Hot chocolate - 2.20",5.3,CARD,8.37505E+15
8/8/2023 9:50,Uppingham,Robert Chambers,"Regular Speciality Tea - Peppermint - 1.30, Regular Flavoured latte - Hazelnut - 2.55, Large Cortado - 2.35",6.2,CARD,8.72768E+15
8/8/2023 9:51,Uppingham,Charlotte Duffy,Regular Mocha - 2.30,2.3,CARD,5.0737E+15
8/8/2023 9:52,Uppingham,Peggy Hamilton,"Large Flavoured latte - Hazelnut - 2.85, Large Red Label tea - 1.80",4.65,CARD,7.27888E+15
8/8/2023 9:53,Uppingham,Michael Kellum,"Large Smoothies - Berry Beautiful - 2.50, Large Flavoured latte - Caramel - 2.85, Large Flavoured latte - Hazelnut - 2.85, Regular Red Label tea - 1.20, Regular Red Label tea - 1.20",10.6,CARD,7.04624E+15
8/8/2023 9:54,Uppingham,Michael Bade,Large Flavoured latte - Hazelnut - 2.85,2.85,CASH,
8/8/2023 9:55,Uppingham,Brian Hankins,"Large Smoothies - Berry Beautiful - 2.50, Regular Hot chocolate - 2.20, Regular Flavoured latte - Caramel - 2.55",7.25,CARD,5.40317E+15
8/8/2023 9:56,Uppingham,Ana Rayborn,"Regular Hot chocolate - 2.20, Regular Cortado - 2.05, Regular Hot chocolate - 2.20",6.45,CARD,1.18556E+15
8/8/2023 9:57,Uppingham,Richard Olson,"Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured latte - Hazelnut - 2.85, Large Flavoured latte - Hazelnut - 2.85, Large Mocha - 2.70",10.95,CARD,2.93503E+15
8/8/2023 9:58,Uppingham,Summer Bibbins,Regular Mocha - 2.30,2.3,CARD,9.51837E+15
8/8/2023 9:59,Uppingham,Robert Mcclure,Regular Flavoured latte - Hazelnut - 2.55,2.55,CARD,2.75226E+15
8/8/2023 10:01,Uppingham,Shawn Gibby,Large Speciality Tea - Green - 1.60,1.6,CASH,
8/8/2023 10:02,Uppingham,Albert Alexander,"Regular Cortado - 2.05, Regular Flavoured latte - Hazelnut - 2.55, Regular Hot chocolate - 2.20, Large Flavoured hot chocolate - Vanilla - 2.90, Regular Hot chocolate - 2.20",11.9,CARD,1.59249E+15
8/8/2023 10:03,Uppingham,John Chew,"Regular Hot chocolate - 2.20, Large Red Label tea - 1.80, Large Mocha - 2.70, Regular Flavoured latte - Hazelnut - 2.55, Regular Flavoured hot chocolate - Vanilla - 2.60, Regular Red Label tea - 1.20",13.05,CASH,
8/8/2023 10:04,Uppingham,Robert Gray,Large Flavoured latte - Caramel - 2.85,2.85,CARD,7.51598E+15
8/8/2023 10:06,Uppingham,Kenneth Richardson,Regular Smoothies - Berry Beautiful - 2.00,2,CASH,
8/8/2023 10:07,Uppingham,Lora Emberton,"Large Mocha - 2.70, Large Hot chocolate - 2.90",5.6,CARD,1.71294E+15
8/8/2023 10:08,Uppingham,James Rider,"Regular Cortado - 2.05, Regular Cortado - 2.05",4.1,CASH,
8/8/2023 10:09,Uppingham,Tonya Mapp,"Large Smoothies - Berry Beautiful - 2.50, Regular Smoothies - Berry Beautiful - 2.00, Regular Flavoured latte - Caramel - 2.55",7.05,CARD,9.35105E+15
8/8/2023 10:11,Uppingham,Douglas Velazquez,"Regular Smoothies - Berry Beautiful - 2.00, Regular Smoothies - Berry Beautiful - 2.00, Regular Cortado - 2.05",6.05,CARD,4.08433E+15
8/8/2023 10:12,Uppingham,Richard Chester,"Large Flavoured latte - Caramel - 2.85, Large Speciality Tea - Green - 1.60, Large Flavoured latte - Hazelnut - 2.85",7.3,CARD,6.57293E+15
8/8/2023 10:13,Uppingham,Mitsue Cruce,Regular Speciality Tea - Green - 1.30,1.3,CARD,2.34828E+15
8/8/2023 10:14,Uppingham,Joan Bailey,Large Hot chocolate - 2.90,2.9,CARD,3.19083E+15
8/8/2023 10:16,Uppingham,Jordan Turner,"Regular Flavoured latte - Hazelnut - 2.55, Large Hot chocolate - 2.90, Regular Speciality Tea - Peppermint - 1.30",6.75,CASH,
8/8/2023 10:17,Uppingham,Barbara Evans,"Regular Smoothies - Berry Beautiful - 2.00, Large Hot chocolate - 2.90, Regular Speciality Tea - Green - 1.30, Large Cortado - 2.35",8.55,CARD,2.22352E+15
8/8/2023 10:18,Uppingham,Ingrid Stallworth,"Large Speciality Tea - Green - 1.60, Large Speciality Tea - Peppermint - 1.60, Large Flavoured hot chocolate - Vanilla - 2.90",6.1,CARD,1.01487E+15
8/8/2023 10:19,Uppingham,Shirley Kafer,"Large Flavoured latte - Hazelnut - 2.85, Regular Flavoured latte - Caramel - 2.55, Regular Red Label tea - 1.20",6.6,CARD,5.76399E+15
8/8/2023 10:21,Uppingham,Eric Everson,"Large Mocha - 2.70, Large Smoothies - Berry Beautiful - 2.50",5.2,CARD,6.74044E+15
8/8/2023 10:22,Uppingham,Wm Whittlesey,"Regular Cortado - 2.05, Regular Cortado - 2.05, Large Mocha - 2.70, Regular Hot chocolate - 2.20",9,CARD,2.96035E+15
8/8/2023 10:23,Uppingham,Nelson Sanchez,"Regular Mocha - 2.30, Large Flavoured hot chocolate - Vanilla - 2.90, Regular Flavoured latte - Caramel - 2.55, Large Smoothies - Berry Beautiful - 2.50",10.25,CASH,
8/8/2023 10:24,Uppingham,Ashley Lynch,"Regular Speciality Tea - Peppermint - 1.30, Regular Speciality Tea - Green - 1.30, Large Mocha - 2.70, Large Cortado - 2.35",7.65,CARD,7.72489E+15
8/8/2023 10:26,Uppingham,Norma Phillips,"Large Flavoured latte - Hazelnut - 2.85, Large Red Label tea - 1.80, Large Speciality Tea - Green - 1.60, Regular Red Label tea - 1.20, Large Smoothies - Berry Beautiful - 2.50",9.95,CASH,
8/8/2023 10:27,Uppingham,Bernice Paul,"Regular Flavoured latte - Caramel - 2.55, Large Speciality Tea - Green - 1.60, Regular Flavoured latte - Caramel - 2.55, Regular Smoothies - Berry Beautiful - 2.00",8.7,CASH,
8/8/2023 10:28,Uppingham,Cindy Derrick,"Large Speciality Tea - Green - 1.60, Regular Cortado - 2.05",3.65,CASH,
8/8/2023 10:29,Uppingham,James Veliz,Large Flavoured latte - Caramel - 2.85,2.85,CARD,9.15229E+15
8/8/2023 10:31,Uppingham,Louis Havenhill,"Regular Smoothies - Berry Beautiful - 2.00, Regular Speciality Tea - Peppermint - 1.30",3.3,CARD,6.75287E+15
8/8/2023 10:32,Uppingham,Alex Smith,"Large Flavoured latte - Hazelnut - 2.85, Regular Hot chocolate - 2.20, Large Red Label tea - 1.80",6.85,CARD,4.24166E+15
8/8/2023 10:33,Uppingham,Catherine Prine,"Regular Flavoured latte - Hazelnut - 2.55, Regular Hot chocolate - 2.20",4.75,CARD,7.97846E+15
8/8/2023 10:34,Uppingham,Megan Roberts,Large Red Label tea - 1.80,1.8,CARD,8.02191E+15
8/8/2023 10:36,Uppingham,Christina Gullett,"Large Speciality Tea - Peppermint - 1.60, Large Red Label tea - 1.80",3.4,CARD,7.65636E+15
8/8/2023 10:37,Uppingham,Bobby Alfieri,Large Speciality Tea - Peppermint - 1.60,1.6,CARD,2.49624E+15
8/8/2023 10:38,Uppingham,Phillip Barta,"Regular Speciality Tea - Peppermint - 1.30, Large Speciality Tea - Green - 1.60, Regular Mocha - 2.30, Regular Mocha - 2.30",7.5,CARD,1.69195E+15
8/8/2023 10:39,Uppingham,Rhonda Smith,"Large Hot chocolate - 2.90, Large Hot chocolate - 2.90, Large Speciality Tea - Green - 1.60, Regular Hot chocolate - 2.20, Large Cortado - 2.35, Large Hot chocolate - 2.90",14.85,CARD,9.32165E+15
8/8/2023 10:41,Uppingham,Thomas Lunsford,"Regular Cortado - 2.05, Large Flavoured latte - Hazelnut - 2.85",4.9,CASH,
8/8/2023 10:42,Uppingham,Kristin Haskins,"Regular Mocha - 2.30, Large Red Label tea - 1.80, Regular Flavoured latte - Hazelnut - 2.55",6.65,CASH,
8/8/2023 10:43,Uppingham,Tina Cannon,Large Mocha - 2.70,2.7,CARD,5.20791E+15
8/8/2023 10:44,Uppingham,Irwin Boatright,"Large Flavoured hot chocolate - Vanilla - 2.90, Large Flavoured latte - Caramel - 2.85, Regular Smoothies - Berry Beautiful - 2.00, Large Cortado - 2.35",10.1,CARD,2.68287E+15
8/8/2023 10:46,Uppingham,Tina Garcia,"Large Flavoured latte - Hazelnut - 2.85, Large Flavoured latte - Hazelnut - 2.85",5.7,CARD,7.96239E+15
8/8/2023 10:47,Uppingham,Roxie Salinas,Regular Speciality Tea - Green - 1.30,1.3,CARD,5.77366E+15
8/8/2023 10:48,Uppingham,Darrell Foster,"Large Speciality Tea - Green - 1.60, Large Flavoured hot chocolate - Vanilla - 2.90, Large Cortado - 2.35, Regular Flavoured hot chocolate - Vanilla - 2.60, Regular Flavoured latte - Hazelnut - 2.55, Regular Speciality Tea - Green - 1.30",13.3,CARD,1.11751E+15
8/8/2023 10:49,Uppingham,Josephine Goetz,"Large Red Label tea - 1.80, Regular Mocha - 2.30, Regular Speciality Tea - Green - 1.30",5.4,CASH,
8/8/2023 10:51,Uppingham,Tobi Potter,Regular Mocha - 2.30,2.3,CARD,6.67721E+15
8/8/2023 10:52,Uppingham,Brittany Collier,"Regular Cortado - 2.05, Regular Hot chocolate - 2.20, Large Speciality Tea - Peppermint - 1.60, Regular Speciality Tea - Peppermint - 1.30, Regular Flavoured latte - Caramel - 2.55",9.7,CARD,9.26667E+15
8/8/2023 10:53,Uppingham,Reinaldo Harper,Large Flavoured hot chocolate - Vanilla - 2.90,2.9,CARD,2.29465E+15
8/8/2023 10:54,Uppingham,Patrick Narcisse,"Large Speciality Tea - Green - 1.60, Regular Red Label tea - 1.20, Large Flavoured latte - Hazelnut - 2.85",5.65,CARD,1.82335E+15
8/8/2023 10:56,Uppingham,Frank Diamond,"Large Flavoured latte - Hazelnut - 2.85, Regular Cortado - 2.05",4.9,CASH,
8/8/2023 10:57,Uppingham,Neil Hill,Large Flavoured latte - Caramel - 2.85,2.85,CARD,8.23622E+15
8/8/2023 10:58,Uppingham,Linda Wilson,"Large Red Label tea - 1.80, Large Hot chocolate - 2.90, Regular Cortado - 2.05, Regular Smoothies - Berry Beautiful - 2.00",8.75,CARD,1.64467E+15
8/8/2023 10:59,Uppingham,Willie Fanney,"Large Red Label tea - 1.80, Regular Flavoured latte - Hazelnut - 2.55, Large Smoothies - Berry Beautiful - 2.50",6.85,CARD,2.50024E+15
8/8/2023 11:01,Uppingham,Rose Morris,"Large Speciality Tea - Peppermint - 1.60, Regular Speciality Tea - Green - 1.30, Large Flavoured latte - Caramel - 2.85, Large Mocha - 2.70",8.45,CARD,2.99638E+15
8/8/2023 11:03,Uppingham,Jeff Gonzales,Regular Smoothies - Berry Beautiful - 2.00,2,CASH,
8/8/2023 11:05,Uppingham,Corine Brown,Large Smoothies - Berry Beautiful - 2.50,2.5,CARD,1.16986E+15
8/8/2023 11:07,Uppingham,Christen Torrence,Regular Flavoured latte - Hazelnut - 2.55,2.55,CARD,9.79667E+15
8/8/2023 11:09,Uppingham,Audrey Hyde,"Large Hot chocolate - 2.90, Regular Hot chocolate - 2.20",5.1,CARD,9.87866E+15
8/8/2023 11:11,Uppingham,Michael Jones,"Large Mocha - 2.70, Large Flavoured latte - Caramel - 2.85",5.55,CARD,9.67726E+15
8/8/2023 11:13,Uppingham,Richard Reynolds,"Large Flavoured hot chocolate - Vanilla - 2.90, Large Cortado - 2.35, Regular Cortado - 2.05, Regular Red Label tea - 1.20",8.5,CARD,5.56059E+15
8/8/2023 11:15,Uppingham,Henry Roop,"Regular Flavoured latte - Caramel - 2.55, Large Flavoured latte - Hazelnut - 2.85",5.4,CARD,3.45414E+15
8/8/2023 11:17,Uppingham,Laura Stafford,"Large Speciality Tea - Peppermint - 1.60, Large Mocha - 2.70",4.3,CASH,
8/8/2023 11:19,Uppingham,Margaret Libby,"Large Red Label tea - 1.80, Large Mocha - 2.70, Regular Flavoured latte - Caramel - 2.55, Large Speciality Tea - Peppermint - 1.60, Large Hot chocolate - 2.90",11.55,CASH,
8/8/2023 11:21,Uppingham,Esperanza Caldwell,"Regular Speciality Tea - Green - 1.30, Regular Flavoured latte - Caramel - 2.55",3.85,CARD,5.90443E+15
8/8/2023 11:23,Uppingham,Rachelle Skelton,"Regular Flavoured latte - Caramel - 2.55, Regular Cortado - 2.05, Regular Flavoured latte - Hazelnut - 2.55, Large Mocha - 2.70, Large Flavoured latte - Hazelnut - 2.85",12.7,CARD,5.29994E+15
8/8/2023 11:25,Uppingham,Francis Mcguire,"Large Mocha - 2.70, Large Hot chocolate - 2.90",5.6,CASH,
8/8/2023 11:27,Uppingham,Sadie Russell,Large Red Label tea - 1.80,1.8,CASH,
8/8/2023 11:29,Uppingham,Patrick Dawson,"Large Speciality Tea - Green - 1.60, Large Speciality Tea - Green - 1.60",3.2,CARD,3.01858E+15
8/8/2023 11:31,Uppingham,Ida Barreras,"Regular Smoothies - Berry Beautiful - 2.00, Large Speciality Tea - Green - 1.60",3.6,CARD,2.91092E+15
8/8/2023 11:33,Uppingham,Beatrice Jacobs,"Regular Hot chocolate - 2.20, Regular Hot chocolate - 2.20, Regular Red Label tea - 1.20",5.6,CARD,6.69698E+15
8/8/2023 11:35,Uppingham,Robin Flores,Large Flavoured latte - Hazelnut - 2.85,2.85,CASH,
8/8/2023 11:37,Uppingham,Jose Dominguez,Regular Speciality Tea - Peppermint - 1.30,1.3,CARD,6.26991E+15
8/8/2023 11:39,Uppingham,Lucy Winegar,Regular Flavoured latte - Hazelnut - 2.55,2.55,CARD,8.71859E+15
8/8/2023 11:41,Uppingham,Bernice Giddins,"Regular Mocha - 2.30, Regular Red Label tea - 1.20, Regular Hot chocolate - 2.20, Regular Mocha - 2.30, Large Mocha - 2.70",10.7,CARD,3.25535E+15
8/8/2023 11:43,Uppingham,Jeannette Haynes,"Regular Flavoured latte - Caramel - 2.55, Regular Hot chocolate - 2.20, Large Mocha - 2.70, Regular Cortado - 2.05",9.5,CASH,
8/8/2023 11:45,Uppingham,Nereida Bunnell,Regular Flavoured latte - Hazelnut - 2.55,2.55,CARD,4.79585E+15
8/8/2023 11:47,Uppingham,William Mcarthur,"Large Flavoured hot chocolate - Vanilla - 2.90, Large Hot chocolate - 2.90",5.8,CARD,3.27952E+15
8/8/2023 11:49,Uppingham,Kenneth Northup,Large Mocha - 2.70,2.7,CASH,
8/8/2023 11:51,Uppingham,Carlota Williams,"Regular Red Label tea - 1.20, Large Flavoured latte - Hazelnut - 2.85, Large Speciality Tea - Peppermint - 1.60",5.65,CASH,
8/8/2023 11:53,Uppingham,Sara Toler,"Regular Flavoured latte - Hazelnut - 2.55, Regular Flavoured latte - Hazelnut - 2.55, Regular Flavoured latte - Caramel - 2.55",7.65,CARD,2.13422E+15
8/8/2023 11:55,Uppingham,Amelia Phillips,"Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured latte - Hazelnut - 2.85, Large Hot chocolate - 2.90, Regular Flavoured latte - Caramel - 2.55",10.85,CARD,4.00528E+15
8/8/2023 11:57,Uppingham,Shelby Hardin,"Regular Flavoured hot chocolate - Vanilla - 2.60, Large Flavoured hot chocolate - Vanilla - 2.90",5.5,CARD,1.44335E+15
8/8/2023 11:59,Uppingham,Curt Leroy,"Large Hot chocolate - 2.90, Regular Flavoured latte - Hazelnut - 2.55, Large Speciality Tea - Green - 1.60",7.05,CARD,8.2323E+15
8/8/2023 12:01,Uppingham,Jay Finder,Regular Hot chocolate - 2.20,2.2,CARD,5.62438E+15
8/8/2023 12:04,Uppingham,Chester Davis,Regular Cortado - 2.05,2.05,CARD,5.71794E+15
8/8/2023 12:07,Uppingham,Eula Coste,"Large Smoothies - Berry Beautiful - 2.50, Large Hot chocolate - 2.90, Large Smoothies - Berry Beautiful - 2.50, Regular Flavoured latte - Hazelnut - 2.55",10.45,CASH,
8/8/2023 12:10,Uppingham,Jose Ganong,"Large Cortado - 2.35, Large Cortado - 2.35, Regular Speciality Tea - Peppermint - 1.30, Regular Speciality Tea - Green - 1.30",7.3,CARD,4.28955E+15
8/8/2023 12:13,Uppingham,Rebecca Tucker,"Large Speciality Tea - Peppermint - 1.60, Large Cortado - 2.35",3.95,CARD,5.78145E+15
8/8/2023 12:16,Uppingham,Leon Demby,"Large Hot chocolate - 2.90, Large Red Label tea - 1.80, Large Speciality Tea - Green - 1.60, Large Cortado - 2.35, Large Red Label tea - 1.80",10.45,CASH,
8/8/2023 12:19,Uppingham,Julia Brain,"Large Cortado - 2.35, Regular Mocha - 2.30, Regular Speciality Tea - Peppermint - 1.30, Regular Flavoured hot chocolate - Vanilla - 2.60",8.55,CARD,8.68139E+15
8/8/2023 12:23,Uppingham,Miguel Laflamme,"Large Red Label tea - 1.80, Regular Mocha - 2.30, Large Speciality Tea - Peppermint - 1.60, Regular Speciality Tea - Green - 1.30",7,CARD,1.33817E+15
8/8/2023 12:26,Uppingham,Patrick Morris,Regular Mocha - 2.30,2.3,CASH,
8/8/2023 12:29,Uppingham,James Kubin,"Regular Hot chocolate - 2.20, Regular Hot chocolate - 2.20, Regular Speciality Tea - Green - 1.30, Regular Flavoured latte - Caramel - 2.55, Large Speciality Tea - Green - 1.60",9.85,CARD,9.37057E+15
8/8/2023 12:32,Uppingham,Cheryl Wallace,"Regular Red Label tea - 1.20, Large Speciality Tea - Green - 1.60",2.8,CARD,2.51031E+15
8/8/2023 12:35,Uppingham,Danny Highbaugh,Large Flavoured latte - Caramel - 2.85,2.85,CASH,
8/8/2023 12:38,Uppingham,Dwayne Salgado,"Regular Red Label tea - 1.20, Regular Cortado - 2.05, Regular Red Label tea - 1.20, Regular Cortado - 2.05",6.5,CARD,6.0417E+15
8/8/2023 12:41,Uppingham,Melissa Fortson,Large Flavoured latte - Hazelnut - 2.85,2.85,CASH,
8/8/2023 12:45,Uppingham,Marilyn Hooper,"Regular Flavoured hot chocolate - Vanilla - 2.60, Large Flavoured latte - Hazelnut - 2.85, Large Smoothies - Berry Beautiful - 2.50",7.95,CASH,
8/8/2023 12:48,Uppingham,Alvin Meads,"Regular Speciality Tea - Peppermint - 1.30, Large Flavoured latte - Caramel - 2.85",4.15,CASH,
8/8/2023 12:51,Uppingham,Tiffany Stewart,Regular Speciality Tea - Peppermint - 1.30,1.3,CARD,4.49475E+15
8/8/2023 12:54,Uppingham,Karen Paul,"Regular Red Label tea - 1.20, Large Speciality Tea - Green - 1.60",2.8,CASH,
8/8/2023 12:57,Uppingham,Eugene Perez,"Regular Red Label tea - 1.20, Regular Flavoured latte - Hazelnut - 2.55, Regular Red Label tea - 1.20, Large Mocha - 2.70",7.65,CASH,
8/8/2023 13:00,Uppingham,Anita Washington,Regular Mocha - 2.30,2.3,CARD,6.82422E+15
8/8/2023 13:02,Uppingham,Sabina Rockwell,"Large Flavoured latte - Hazelnut - 2.85, Large Flavoured latte - Caramel - 2.85, Regular Hot chocolate - 2.20",7.9,CARD,8.20233E+15
8/8/2023 13:04,Uppingham,Roberto Harris,Large Cortado - 2.35,2.35,CARD,5.65645E+15
